id,name,catchment-area,easting,northing,latitude,longitude,river,location,station-level,measuring-authority-id,measuring-authority-station-id,hydrometric-area,opened,closed,station-type,bankfull-flow,structurefull-flow,sensitivity,nrfa-mean-flow,nrfa-peak-flow,feh-pooling,feh-qmed,feh-neither,nhmp,benchmark,live-data,eflag,historic-droughts,marius,outlook-analogues,outlook-esp,factors-affecting-runoff,gdf-start-date,gdf-end-date,gdf-mean-flow,gdf-min-flow,gdf-first-date-of-min,gdf-last-date-of-min,gdf-max-flow,gdf-first-date-of-max,gdf-last-date-of-max,gdf-q95-flow,gdf-q70-flow,gdf-q50-flow,gdf-q10-flow,gdf-q05-flow,gdf-base-flow-index,gdf-day-count,gdf-flow-count,gdf-percent-complete,peak-flow-start-date,peak-flow-end-date,qmed,minimum-altitude,10-percentile-altitude,50-percentile-altitude,90-percentile-altitude,maximum-altitude,saar-1941-1970,saar-1961-1990,lcm2000-woodland,lcm2000-arable-horticultural,lcm2000-grassland,lcm2000-mountain-heath-bog,lcm2000-urban,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban,high-perm-bedrock,moderate-perm-bedrock,low-perm-bedrock,mixed-perm-bedrock,high-perm-superficial,low-perm-superficial,mixed-perm-superficial,propwet,bfihost,farl,dpsbar,sprhost,rmed-1d,rmed-2d,rmed-1h,ldp,dplbar,altbar,aspbar,aspvar,ihdtm-height,ihdtm-catchment-area,mean-flood-plain-depth,mean-flood-plain-location,mean-flood-plain-extent,urbext-1990,urbconc-1990,urbloc-1990,urbext-2000,urbconc-2000,urbloc-2000,data-summary
44015,Hooke at Hooke,11.8,353760,100030,50.79798,-2.65748,Hooke,Hooke,,EA-WX,445210,44,1992-12,,FV,,,,True,True,False,True,False,False,False,True,False,False,False,False,False,,01/01/1992,30/09/2021,0.204,0.063,16/09/1992,16/09/1992,2.013,07/07/2012,07/07/2012,0.086,0.126,0.17,0.362,0.433,0.89,10866.0,10787.0,99.273,01/06/1989,,1.641,132.8,158.9,204.7,237.1,252.9,1067.0,1030.0,0.052,0.5216,0.4356,,0.0085,0.0624,0.3633,0.5852,0.0035,0.0045,0.6903,0.3097,,,,0.4336,,0.38,0.599,0.928,81.2,37.76,41.4,51.4,11.5,7.48,3.41,200.0,159.0,0.21,133.3,12.59,0.145,0.625,0.0173,0.0003,,,0.0014,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
45006,Quarme at Enterwell,20.4,291900,135600,51.10947,-3.54556,Quarme,Enterwell,187.5,EA-DC,,45,01/01/1964,31/12/1967,CB,,12.5,9.5,True,False,False,False,False,False,False,False,False,False,False,False,False,P,01/10/1964,30/09/1967,0.694,0.071,01/10/1964,01/10/1964,11.75,18/12/1965,18/12/1965,0.127,0.272,0.43,1.475,2.03,0.56,1095.0,1095.0,100.0,,,,189.6,246.4,322.9,438.9,516.8,1530.0,1420.0,0.1333,0.0523,0.7257,0.0793,0.0094,0.0628,0.074,0.7949,0.0666,0.0017,,,1.0,,,,,0.54,0.514,1.0,153.6,37.01,50.2,67.3,12.2,10.93,5.35,329.0,177.0,0.26,189.6,19.97,0.115,0.704,0.0094,0.0005,,,0.0008,,,gdf;gmf;cmr;cdr;cdr-d
45010,Haddeo at Hartford,50.0,295200,129400,51.05435,-3.49664,Haddeo,Hartford,164.0,EA-DC,,45,01/01/1973,31/12/1979,VA,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,,01/01/1973,31/12/1979,1.102,0.016,22/08/1976,22/08/1976,14.21,10/02/1974,10/02/1974,0.076,0.394,0.687,2.512,3.43,0.56,2556.0,2556.0,100.0,,,,161.2,246.3,310.0,372.3,422.4,1340.0,1264.0,0.1193,0.0886,0.7335,0.016,0.0122,0.0932,0.008,0.8539,0.0096,0.0034,,,1.0,,,,,0.46,0.584,0.859,109.3,31.82,43.9,61.7,11.8,10.91,6.5,308.0,198.0,0.26,161.2,49.76,0.093,0.88,0.0084,0.0,,,0.0009,,,gdf;gmf;cmr;cdr;cdr-d
45013,Tale at Fairmile,34.4,308810,97112,50.7664,-3.29443,Tale,Fairmile,48.2,EA-DC,SY09E073,45,01/01/1978,,US,11.5,,,True,True,False,True,False,False,False,True,False,False,False,False,False,N,06/09/1978,30/09/2021,0.442,0.034,25/07/1985,25/07/1985,9.15,21/11/2016,21/11/2016,0.125,0.192,0.25,0.898,1.414,0.53,15731.0,15107.0,96.033,06/09/1978,,10.091,48.3,76.1,105.3,206.6,282.6,958.0,922.0,0.0968,0.3546,0.4492,0.0017,0.0786,0.0902,0.5356,0.3618,0.0036,0.0084,0.3612,0.3192,,0.3196,0.2014,0.0631,0.0471,0.4,0.514,0.998,62.9,36.1,35.2,45.0,11.1,14.24,7.19,123.0,227.0,0.27,48.3,31.43,0.433,0.771,0.0481,0.0001,,,0.0092,0.546,0.792,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
46005,East Dart at Bellever,21.5,265712,77570,50.58238,-3.89816,East Dart,Bellever,309.0,EA-DC,SX67F051,46,01/01/1964,,VA,50.0,,10.0,True,True,True,True,False,False,True,True,True,True,True,False,True,N,31/03/1964,30/09/2021,1.28,0.096,26/08/1976,26/08/1976,29.0,27/12/1979,27/12/1979,0.204,0.444,0.709,2.847,4.24,0.44,21003.0,21003.0,100.0,31/03/1964,,40.116,309.1,358.3,462.3,552.3,601.6,1998.0,2095.0,0.0861,,0.4286,0.48,0.0053,0.0581,,0.4308,0.5111,,,,1.0,,,0.3672,,0.46,0.363,1.0,95.0,47.42,67.1,91.2,14.2,13.73,6.46,459.0,145.0,0.25,309.1,22.27,0.588,0.863,0.042,0.0,,,0.0004,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
47009,Tiddy at Tideford,37.2,234468,59634,50.41319,-4.33117,Tiddy,Tideford,4.2,EA-DC,SX35F068,47,01/01/1969,,C,48.9,50.0,29.2,True,True,True,True,False,False,True,True,True,True,False,False,True,N,11/10/1969,30/09/2021,1.002,0.063,26/08/1976,27/08/1976,12.8,22/12/2012,22/12/2012,0.13,0.303,0.602,2.48,3.365,0.57,18983.0,18983.0,100.0,01/10/1969,,6.89,5.7,52.0,108.3,168.3,283.5,1348.0,1276.0,0.0965,0.3484,0.5063,,0.0468,0.0891,0.5039,0.3924,0.002,0.0122,,,1.0,,,,,0.48,0.591,1.0,121.2,30.81,41.7,55.2,11.8,15.76,8.25,109.0,150.0,0.2,6.1,37.4,0.31,0.697,0.0237,0.0074,0.552,1.564,0.0107,0.725,1.36,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
47010,Tamar at Crowford Bridge,76.7,229006,99099,50.76622,-4.42614,Tamar,Crowford Bridge,84.0,EA-DC,SX29F067,47,01/01/1972,,CC,66.0,56.0,26.2,True,True,False,False,True,False,False,True,False,False,False,False,False,SRP,20/06/1972,30/09/2021,1.721,0.006,03/08/1975,04/08/1975,37.3,22/12/2012,22/12/2012,0.096,0.315,0.739,4.618,6.61,0.37,18000.0,18000.0,100.0,21/06/1972,,28.839,84.5,109.1,140.0,191.3,225.6,1202.0,1181.0,0.0757,0.2294,0.6681,0.0004,0.0219,0.0704,0.4293,0.4762,0.0131,0.0055,,,1.0,,0.0109,,0.0542,0.5,0.386,0.947,53.1,41.61,37.8,49.1,12.4,25.87,14.37,145.0,192.0,0.16,84.5,77.77,0.698,0.764,0.0636,0.0038,,,0.0016,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
47013,Withey Brook at Bastreet,16.2,224416,76393,50.56085,-4.48039,Withey Brook,Bastreet,228.7,EA-DC,SX27F066,47,01/01/1972,,CC,8.4,8.7,11.0,True,True,False,True,False,False,False,True,False,False,False,False,False,P,09/12/1972,30/09/2021,0.563,0.022,26/07/2018,26/07/2018,7.627,09/07/2008,09/07/2008,0.084,0.189,0.363,1.252,1.698,0.57,17828.0,17828.0,100.0,10/12/1972,,10.125,229.5,246.2,287.9,332.4,383.0,1777.0,1686.0,0.2664,0.0224,0.5955,0.0901,0.0256,0.2332,0.0737,0.5995,0.0934,0.0001,,,1.0,,,0.3617,0.0003,0.48,0.368,0.998,82.2,49.11,48.8,66.8,13.0,6.85,3.66,288.0,300.0,0.03,229.5,13.95,0.664,0.667,0.0619,0.0,,,0.0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
47016,Lumburn at Lumburn Bridge,20.5,245968,73115,50.53747,-4.17499,Lumburn,Lumburn Bridge,67.0,EA-DC,,47,01/03/1976,28/03/2002,VA,2.6,,27.0,True,False,False,False,False,False,False,False,False,False,False,False,False,N,29/02/1976,28/03/2002,0.536,0.032,23/09/2001,23/09/2001,8.908,27/12/1979,27/12/1979,0.07,0.192,0.339,1.255,1.657,0.63,9525.0,9416.0,98.856,,,,67.9,106.6,157.4,235.0,293.6,1309.0,1284.0,0.0509,0.1185,0.8029,,0.0265,0.0386,0.3161,0.6311,0.0079,0.0063,,,1.0,,,,,0.48,0.597,1.0,83.9,28.61,42.5,56.7,12.0,9.2,5.1,163.0,197.0,0.31,67.9,20.71,0.188,0.553,0.015,0.0037,,,0.0044,,,gdf;gmf;cmr;cdr;cdr-d
47017,Wolf at Combe Park Farm,31.1,241890,89810,50.6864,-4.23961,Wolf,Combe Park Farm,89.0,EA-DC,,47,01/01/1977,31/12/1986,FV,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,SRP,05/04/1977,31/12/1986,0.734,0.0,01/07/1977,02/09/1983,22.62,27/12/1979,27/12/1979,0.014,0.135,0.354,1.794,2.664,0.38,3558.0,3558.0,100.0,,,,88.7,127.1,184.5,230.2,280.5,1243.0,1146.0,0.1902,0.1357,0.5758,0.0004,0.0118,0.1954,0.2406,0.4691,0.004,0.0006,,,1.0,,,,,0.5,0.416,1.0,82.4,40.17,36.9,46.7,12.0,11.93,6.75,180.0,215.0,0.21,88.7,31.93,0.242,0.596,0.0184,0.0,,,0.0005,,,gdf;gmf;cmr;cdr;cdr-d
